
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: выбрал дробовики
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: FABM
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: SM1014
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: использование команды /start
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: выбрал гранаты
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: осколочная граната
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: ослепляющая граната
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: использование команды /start
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: выбрал дробовики
 2023-10-08 20:59:48.143963 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-10-08 20:59:48.143963 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал пистолеты
 2023-11-24 16:06:36.234784 Пользователь kolyaxaxa, Коля Какой-то: использование команды /start
 2023-11-24 16:17:03.436442 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-11-24 16:17:03.436442 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал бомбы
 2023-11-24 16:17:03.436442 Пользователь kolyuxaxa, Какой-то Коляхаха: C4
 2023-11-24 16:17:03.436442 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал штурмовые винтовки
 2023-11-24 16:17:03.436442 Пользователь kolyuxaxa, Какой-то Коляхаха: AKR-12
